lambda_m,alpha_limit_env
2.3558610409120853e-05,19638.280019297697
2.3991193654409455e-05,16425.448669893318
2.488033527900418e-05,12564.28939582378
2.5802429529465457e-05,9610.779662375922
2.6758697668549977e-05,7351.556686480032
2.7750406220436924e-05,5623.41325190349
2.825995922770029e-05,5142.885987340235
3.0393469244673607e-05,3597.779002020399
3.1235720425611984e-05,2516.877445706941
3.239335266370239e-05,2105.115175679726
3.328826848115155e-05,1925.230612400019
3.452197054465162e-05,1126.4816923358867
3.515586302780856e-05,720.7068015985839
3.6793508417760595e-05,504.18068838925825
3.815711876247109e-05,352.7067678296283
3.921126741708331e-05,295.00378367233037
3.993126477756413e-05,225.65672240758545
4.179135996641515e-05,157.8613680220102
4.334019651993652e-05,110.43416410511021
4.535533391612852e-05,84.47420980017066
4.61881486363461e-05,70.6541914892261
4.7468095404553087e-05,59.09513432330601
4.877947400258625e-05,45.203536563602405
5.0587298214515855e-05,31.622776601683796
5.246212250071995e-05,24.18915456789288
5.540544092366136e-05,22.122162910704457
5.642279572622324e-05,18.502967215037664
5.745883119943842e-05,11.837932575700517
6.068248339589069e-05,9.055168824823188
6.293144702180619e-05,6.926554271339669
6.408699436142605e-05,6.334672076708296
6.892529732308768e-05,4.4315099028770835
7.083532650072329e-05,3.10012574944565
7.412887214344803e-05,2.371373705661655
7.618310062265967e-05,1.983415912249182
7.828777507477135e-05,1.65892818646465
7.972529533679654e-05,0.8877197088985861
8.268000778829728e-05,0.6790418666262688
8.653144313746244e-05,0.47503339083435536
8.973839936640457e-05,0.39731771672304084
9.221755963917101e-05,0.33231636147669585
9.391085862958444e-05,0.23247663477117325
9.739130460537887e-05,0.1778279410038923
0.00010100073996927149,0.13602561234943067
0.00010570559947056111,0.09515865081443299
0.00011163607318186603,0.07959065319940704
0.00011577343628693405,0.046569700862183136
0.00011897185419844938,0.050920956367734076
